               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024305,           0.0085446,                   0,              0.9459,             0.90115,             0.97082,             0.68377,            0.022327,           0.0069244,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.024454,            0.008546,                   0,               0.947,             0.90184,             0.97114,             0.68476,            0.022267,           0.0069223,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.024113,           0.0084987,                   0,             0.94249,             0.90691,             0.97081,             0.68543,            0.022237,           0.0069121,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.024008,           0.0084119,                   0,             0.94476,             0.90484,             0.97112,             0.68614,            0.022213,           0.0069083,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.023923,            0.008403,                   0,             0.95134,             0.89828,             0.97069,             0.68659,            0.022199,           0.0069049,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.023969,           0.0084706,                   0,             0.94729,             0.90073,             0.97074,             0.68583,            0.022191,           0.0068964,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.023801,           0.0083583,                   0,             0.94934,             0.90004,             0.97095,             0.68619,             0.02214,           0.0068843,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.023857,           0.0083419,                   0,             0.94835,             0.90109,             0.97084,             0.68703,            0.022094,           0.0068768,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.023585,           0.0082764,                   0,             0.93671,             0.91194,             0.97116,             0.68774,            0.022047,           0.0068615,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.023573,            0.008385,                   0,             0.94185,             0.90776,              0.9713,             0.68772,            0.022052,            0.006859,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.023592,           0.0083297,                   0,             0.94211,             0.90776,             0.97154,             0.68805,            0.022033,           0.0068543,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.023515,           0.0083188,                   0,             0.94743,             0.90498,             0.97158,             0.68896,            0.022011,           0.0068487,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.023332,           0.0083224,                   0,             0.94983,             0.90272,             0.97181,             0.68935,            0.021983,           0.0068414,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.02333,           0.0082959,                   0,             0.95154,             0.90208,             0.97201,             0.69025,            0.021952,           0.0068336,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.023292,           0.0082925,                   0,             0.94068,             0.91078,             0.97212,             0.69033,            0.021937,           0.0068287,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.023148,           0.0082487,                   0,             0.94224,             0.90985,             0.97219,             0.69041,            0.021937,            0.006823,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.023073,           0.0083206,                   0,             0.94072,              0.9113,             0.97202,             0.69082,            0.021921,           0.0068197,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.02337,           0.0083016,                   0,             0.93788,             0.91432,             0.97187,             0.69095,            0.021913,           0.0068158,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.023424,           0.0083781,                   0,             0.93694,              0.9154,             0.97196,             0.69099,            0.021914,           0.0068148,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.02334,           0.0082527,                   0,             0.95414,              0.9001,             0.97204,              0.6913,            0.021906,           0.0068131,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.023085,           0.0081684,                   0,             0.95283,             0.90359,             0.97242,              0.6913,            0.021897,           0.0068088,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.022997,           0.0082397,                   0,             0.95189,             0.90324,             0.97282,             0.69135,            0.021901,           0.0068081,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.022998,           0.0082246,                   0,             0.95422,             0.90184,             0.97298,             0.69159,            0.021886,           0.0068057,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.022849,            0.008155,                   0,             0.95422,             0.90184,             0.97322,             0.69212,            0.021865,           0.0068008,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.022602,           0.0080256,                   0,             0.95464,             0.90219,             0.97368,             0.69192,            0.021849,           0.0067967,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.023087,           0.0081023,                   0,             0.95504,             0.90212,             0.97379,             0.69239,            0.021846,           0.0067949,                   0,            0.007426,            0.007426,            0.007426
